epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,69.6112,1.27262,4.34487,1.18067,0.40754,0.30356,0.30287,0.19281,1.28374,2.54245,1.13644,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,128.312,1.20362,2.80247,1.15054,0.47529,0.47888,0.43036,0.27494,1.2764,2.09739,1.14196,0.0197676,0.00658921,0.0197676,0.00658921,0.0197676,0.00658921,0.0197676,0.00658921
3,179.1,1.25507,2.47062,1.18702,0.41121,0.40845,0.35784,0.21593,1.32187,2.3531,1.2123,0.029372,0.00979066,0.029372,0.00979066,0.029372,0.00979066,0.029372,0.00979066
4,228.209,1.27739,2.17856,1.22528,0.37498,0.48817,0.38662,0.24181,1.29608,2.23975,1.23533,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,276.908,1.18613,1.80317,1.17661,0.56418,0.50773,0.52186,0.33855,1.27575,1.78341,1.23724,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,325.225,1.14582,1.65074,1.15878,0.52644,0.63605,0.60151,0.42149,1.01952,1.41601,1.07486,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,373.94,1.11081,1.52327,1.1435,0.62996,0.61936,0.65736,0.44219,1.08069,1.46843,1.10844,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,425.829,1.0547,1.41641,1.10802,0.68546,0.64213,0.7283,0.52068,0.9965,1.18624,1.05665,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,475.924,1.02817,1.33745,1.09552,0.68456,0.69095,0.75896,0.55506,0.95571,1.07363,1.03344,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,524.311,1.01933,1.28701,1.08426,0.71033,0.68087,0.75541,0.55085,0.94775,1.17974,1.03318,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,573.419,0.99524,1.23481,1.07952,0.72758,0.75425,0.81489,0.59755,0.92464,0.95721,1.01373,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,622.319,0.97622,1.17544,1.06292,0.73848,0.72456,0.80777,0.58729,0.95436,0.96979,1.02423,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,670.835,0.94939,1.11918,1.05075,0.74861,0.7679,0.83709,0.64052,0.81929,0.87643,0.97747,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,719.467,0.94226,1.11097,1.04258,0.77603,0.77733,0.85698,0.65701,0.82633,0.83964,0.97431,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,767.793,0.93577,1.07024,1.0433,0.80723,0.78032,0.87049,0.70538,0.70138,0.79074,0.94014,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,816.25,0.9281,1.06397,1.03288,0.84271,0.75754,0.87797,0.62899,0.99695,0.82183,1.02033,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,865.691,0.92089,1.03948,1.03331,0.83443,0.78707,0.88305,0.68351,0.82052,0.76537,0.96512,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,914.66,0.90628,0.99753,1.02216,0.80889,0.79375,0.87827,0.68977,0.77856,0.77686,0.94652,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,962.965,0.89751,0.97498,1.01691,0.82764,0.78318,0.88381,0.67293,0.83868,0.74008,0.95722,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,1011.47,0.89519,0.97584,1.01477,0.81783,0.80185,0.874,0.67384,0.82511,0.83382,0.94629,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,1060.03,0.87729,0.9435,1.00586,0.84245,0.83892,0.90624,0.72553,0.73501,0.66799,0.93201,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,1109.25,0.85896,0.91515,0.9964,0.8786,0.85782,0.92627,0.73485,0.76312,0.62199,0.935,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,1157.75,0.86206,0.88905,0.99201,0.87205,0.85806,0.9275,0.74869,0.70768,0.61112,0.91893,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,1206.24,0.86163,0.89052,1.00179,0.85773,0.85584,0.92266,0.73275,0.76303,0.62717,0.93035,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,1255.66,0.84573,0.86685,0.9922,0.90857,0.84548,0.93643,0.74787,0.74464,0.59365,0.92017,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,1303.73,0.84365,0.84495,0.98478,0.89004,0.85935,0.93332,0.74904,0.72734,0.58241,0.91575,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,1352.49,0.85623,0.84478,0.99187,0.8895,0.87887,0.94298,0.75271,0.73332,0.56433,0.91908,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,1401.6,0.83118,0.81658,0.97914,0.90508,0.88836,0.94649,0.75526,0.75165,0.5453,0.9228,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,1449.54,0.83,0.83112,0.9847,0.91637,0.89241,0.9496,0.7519,0.77792,0.5323,0.92613,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,1498.87,0.82776,0.81327,0.9823,0.91069,0.89102,0.94423,0.77179,0.68835,0.53268,0.90847,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,1547.33,0.82547,0.79693,0.98159,0.91533,0.89709,0.9498,0.74543,0.78313,0.53289,0.92404,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,1597.64,0.82227,0.78732,0.97241,0.92248,0.88528,0.95192,0.78195,0.67088,0.50862,0.89838,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,1647.41,0.82,0.77146,0.97713,0.93325,0.89346,0.95444,0.7557,0.76753,0.50713,0.9202,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,1697.25,0.8117,0.76633,0.96765,0.92609,0.90172,0.95717,0.80084,0.61314,0.48954,0.88798,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,1748.43,0.80621,0.7577,0.97127,0.93197,0.89967,0.95586,0.75501,0.78176,0.4954,0.9215,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,1798.75,0.79687,0.73926,0.96771,0.94116,0.90542,0.9626,0.7934,0.66137,0.46728,0.89823,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,1848.59,0.7982,0.75284,0.96759,0.92985,0.91177,0.9609,0.79384,0.66926,0.46238,0.89098,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,1898.77,0.79316,0.73182,0.9583,0.93545,0.92485,0.96412,0.78345,0.72076,0.45584,0.89762,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,1949.09,0.78965,0.72603,0.95685,0.94378,0.90116,0.96336,0.78453,0.71018,0.45581,0.8979,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1999.44,0.78062,0.71418,0.95698,0.9531,0.9235,0.96736,0.79096,0.68883,0.437,0.89849,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2048.53,0.77795,0.6996,0.95391,0.95086,0.92483,0.96679,0.79327,0.68341,0.43021,0.89707,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,2098.79,0.78114,0.71118,0.95475,0.95268,0.92314,0.96682,0.77158,0.75518,0.43335,0.91061,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,2149.38,0.76428,0.67935,0.95243,0.94546,0.93865,0.97004,0.79438,0.69866,0.42074,0.89657,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2199.56,0.77678,0.68668,0.95235,0.93611,0.94475,0.97079,0.76622,0.80561,0.43216,0.92003,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
