epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,256.59,1.11673,5.88223,1.18868,0.28542,0.37744,0.25579,0.17096,1.18711,2.53685,1.13479,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754
2,470.999,1.10699,3.69824,1.17037,0.38047,0.4863,0.39311,0.24047,1.42385,2.01907,1.28469,0.0197848,0.00659493,0.0197848,0.00659493,0.0197848,0.00659493,0.0197848,0.00659493
3,676.855,1.15672,2.52492,1.21368,0.37731,0.35894,0.29618,0.17922,1.40467,2.44506,1.35997,0.029389,0.00979632,0.029389,0.00979632,0.029389,0.00979632,0.029389,0.00979632
4,875.257,1.18491,2.09104,1.2454,0.42115,0.47716,0.43011,0.26831,1.3282,1.86009,1.28341,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,1075.9,1.12531,1.81063,1.20181,0.5561,0.58112,0.59551,0.36311,1.38739,1.50163,1.28067,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1273.51,1.08088,1.64214,1.18355,0.59809,0.61195,0.64358,0.4122,1.29092,1.3748,1.21984,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1474.28,1.04968,1.52372,1.15947,0.6021,0.62903,0.67835,0.44009,1.28961,1.33454,1.19385,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1674.05,1.0145,1.43817,1.14091,0.62892,0.64264,0.68408,0.45507,1.19523,1.23768,1.16307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1874.55,0.97966,1.34614,1.11882,0.66843,0.67287,0.74088,0.48465,1.2527,1.12849,1.19542,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,2070.69,0.95279,1.28445,1.10544,0.68054,0.71097,0.77207,0.50365,1.23444,1.08332,1.17621,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2270.45,0.93026,1.21877,1.09407,0.72988,0.74126,0.81497,0.56104,1.09941,0.95821,1.11476,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,2468.88,0.92009,1.16882,1.09104,0.75507,0.74416,0.81394,0.57634,1.05016,0.93806,1.10308,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2667.11,0.892,1.11054,1.07001,0.78401,0.76124,0.84384,0.60867,0.99638,0.87363,1.06972,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2866.52,0.88629,1.07956,1.06565,0.78626,0.76069,0.85322,0.61533,1.00371,0.8585,1.06411,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,3065.84,0.86706,1.04794,1.05761,0.79755,0.79198,0.87283,0.65836,0.89809,0.7906,1.02767,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,3266.18,0.85558,1.01411,1.05079,0.79569,0.79907,0.87071,0.63748,0.98952,0.83625,1.05602,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,3464.13,0.84812,0.9802,1.04773,0.80605,0.81185,0.89047,0.6488,0.9813,0.7557,1.05225,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,3664.13,0.83819,0.96185,1.04347,0.81714,0.8047,0.88091,0.65013,0.95156,0.7709,1.04573,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,3862.18,0.8273,0.92678,1.03844,0.83657,0.82191,0.89615,0.66843,0.9225,0.71552,1.03246,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,4062.25,0.82214,0.91635,1.03123,0.86337,0.84093,0.91637,0.70474,0.83314,0.66135,0.99687,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,4258.32,0.81316,0.87936,1.02741,0.87286,0.85817,0.92192,0.701,0.88069,0.63791,1.01296,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,4456.63,0.8074,0.87425,1.02456,0.86574,0.84025,0.91555,0.69275,0.88468,0.6605,1.01056,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,4653.28,0.79992,0.85869,1.02221,0.86458,0.85636,0.92628,0.70135,0.91161,0.62806,1.0225,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4849.36,0.79339,0.83784,1.01641,0.87906,0.86017,0.92906,0.71333,0.85732,0.60019,1.00413,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,5047.8,0.78909,0.8228,1.01265,0.88427,0.88378,0.94203,0.74801,0.74611,0.56509,0.96333,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,5246.68,0.78726,0.80708,1.01476,0.92507,0.87093,0.94922,0.74384,0.81517,0.54956,0.97863,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,5444.07,0.78075,0.78885,1.00733,0.90274,0.89779,0.94901,0.738,0.82919,0.55354,0.99037,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5640.44,0.77468,0.78583,1.00692,0.89107,0.89524,0.94848,0.72819,0.85759,0.54579,0.99552,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5837.28,0.76743,0.77149,1.00604,0.90024,0.91222,0.95216,0.76567,0.75085,0.51779,0.95751,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,6034.25,0.76397,0.76318,1.00407,0.9345,0.90315,0.95791,0.78414,0.69333,0.48233,0.93793,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6230.72,0.76167,0.74799,0.9976,0.91571,0.90205,0.95892,0.76882,0.74155,0.49442,0.95478,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6425.81,0.75677,0.7309,0.99496,0.92812,0.90518,0.95759,0.7579,0.77583,0.48272,0.96757,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6623.65,0.75265,0.72919,0.9937,0.92794,0.9291,0.96511,0.78169,0.71668,0.46227,0.94679,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6820.84,0.74354,0.71453,0.98981,0.93523,0.91061,0.96259,0.77732,0.74647,0.4744,0.94961,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,7019.05,0.74605,0.712,0.98778,0.94145,0.92226,0.96337,0.76811,0.77637,0.45176,0.96041,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7214.12,0.73757,0.70532,0.98811,0.93268,0.92935,0.96783,0.78458,0.72731,0.44427,0.94157,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7412.59,0.72985,0.69577,0.98403,0.94983,0.92705,0.96804,0.79476,0.68565,0.42628,0.93268,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7608.9,0.72611,0.68372,0.98226,0.94418,0.92853,0.96999,0.78383,0.73964,0.43354,0.94613,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7807.17,0.72674,0.68552,0.98476,0.9456,0.93082,0.96976,0.79646,0.69707,0.42536,0.93255,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,8002.56,0.71499,0.66999,0.97599,0.95034,0.93371,0.96927,0.79394,0.70447,0.41859,0.93452,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8200.87,0.72275,0.66418,0.98022,0.94057,0.93541,0.97061,0.80211,0.67118,0.40848,0.9238,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
