epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,321.242,0.92262,1.4358,11.0976,0.00417,5.41017,0.38886,0.23123,0.18358,0.14647,0.39222,0.23256,0.18571,0.14657,0.85523,1.03344,2.56676,0.00512,0,0.000166377,0.000166377,0.000166377
2,622.534,0.9278,1.1052,5.49468,0.00418,2.38287,0.38043,0.47803,0.40288,0.33199,0.38956,0.47349,0.40836,0.32771,0.80707,0.89545,1.84305,0.0048,0,0.000300072,0.000300072,0.000300072
3,917.778,0.89193,1.03798,2.6693,0.00391,1.03226,0.52341,0.53147,0.52733,0.43019,0.52522,0.53626,0.53294,0.427,0.77777,0.89601,1.43994,0.00453,0,0.000400768,0.000400768,0.000400768
4,1210.11,0.84533,0.9553,1.7624,0.00375,0.33781,0.5713,0.63941,0.63541,0.52479,0.57288,0.64156,0.63945,0.51332,0.73246,0.86443,1.16258,0.00436,0,0.0003515,0.0003515,0.0003515
5,1503.29,0.77233,0.90818,1.36002,0.00339,0.22932,0.63785,0.63307,0.69313,0.57752,0.63957,0.63624,0.699,0.55925,0.70645,0.78724,1.07778,0.00413,0,0.000302,0.000302,0.000302
6,1800.53,0.74547,0.86659,1.16083,0.00314,0.2093,0.71562,0.68874,0.77511,0.65172,0.71733,0.69071,0.78032,0.63802,0.66336,0.76063,0.88583,0.0038,0,0.0002525,0.0002525,0.0002525
7,2096.38,0.69741,0.82677,0.96462,0.00295,0.19174,0.75009,0.74115,0.81424,0.70085,0.76098,0.73526,0.8192,0.66999,0.6041,0.74242,0.75033,0.00347,0,0.000203,0.000203,0.000203
8,2392.07,0.6614,0.79316,0.86732,0.00272,0.1715,0.76508,0.77195,0.83744,0.72078,0.76297,0.77766,0.84041,0.69125,0.60189,0.73037,0.71658,0.0034,0,0.0001535,0.0001535,0.0001535
9,2685.78,0.62925,0.78632,0.76501,0.00256,0.16068,0.77979,0.79864,0.86515,0.74919,0.78134,0.8003,0.8673,0.71294,0.5719,0.70076,0.64742,0.00323,0,0.000104,0.000104,0.000104
10,2981.86,0.60076,0.74773,0.70203,0.00243,0.1542,0.78864,0.8121,0.87609,0.76467,0.79222,0.81273,0.87811,0.71837,0.55461,0.69017,0.60267,0.0031,0,5.45e-05,5.45e-05,5.45e-05
