epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,158.754,0.81009,0.95135,1.4725,0.00273,0.34544,0.68029,0.65155,0.71395,0.60069,0.6809,0.65437,0.71748,0.57364,0.67859,0.83554,1.03867,0.00395,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,286.356,0.86407,0.96827,1.35709,0.00306,0.32515,0.6847,0.64574,0.71803,0.58782,0.68569,0.64733,0.7225,0.55916,0.74191,0.91738,1.04553,0.00436,0,0.0197457,0.00658189,0.0197457,0.00658189,0.0197457,0.00658189,0.0197457,0.00658189
3,393.888,0.96661,1.05815,1.47527,0.00349,0.33002,0.56926,0.55549,0.58023,0.41369,0.57271,0.55965,0.583,0.40581,1.05929,1.23453,1.41413,0.00667,0,0.029306,0.00976868,0.029306,0.00976868,0.029306,0.00976868,0.029306,0.00976868
4,501.404,1.09116,1.20848,1.62056,0.00414,0.36383,0.53244,0.56011,0.56824,0.41701,0.53456,0.56286,0.57221,0.43038,1.02004,1.17953,1.45425,0.00652,0,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
5,610.024,1.05794,1.16508,1.49093,0.00402,0.33708,0.64388,0.59912,0.66546,0.50594,0.64686,0.60187,0.67039,0.49864,0.9641,1.02519,1.2049,0.00589,0,0.02868,0.00956,0.02868,0.00956,0.02868,0.00956,0.02868,0.00956
6,717.019,1.03416,1.10169,1.36013,0.00385,0.30945,0.631,0.60964,0.66332,0.50803,0.63637,0.609,0.66514,0.49137,0.93894,1.04724,1.21958,0.00571,0,0.02835,0.00945,0.02835,0.00945,0.02835,0.00945,0.02835,0.00945
7,825.906,1.02368,1.079,1.30707,0.00381,0.29485,0.71155,0.6921,0.74941,0.58523,0.71547,0.69456,0.75362,0.57078,0.87672,0.96309,0.96742,0.00538,0,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
8,932.94,0.99724,1.0253,1.22337,0.00364,0.27309,0.70452,0.71869,0.78703,0.61812,0.71135,0.72325,0.79504,0.62869,0.83429,0.88579,0.93729,0.00509,0,0.02769,0.00923,0.02769,0.00923,0.02769,0.00923,0.02769,0.00923
9,1039.87,0.9593,1.00394,1.13962,0.00358,0.2553,0.76953,0.72572,0.81391,0.64398,0.76925,0.7281,0.81575,0.65402,0.83102,0.88554,0.83368,0.00533,0,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912,0.02736,0.00912
10,1150.07,0.93747,0.95425,1.07821,0.00345,0.24295,0.76549,0.7754,0.84091,0.67765,0.77031,0.78014,0.84767,0.65451,0.78391,0.99643,0.73803,0.00476,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
11,1259.52,0.92339,0.9453,1.03486,0.00339,0.22501,0.78073,0.78748,0.85218,0.69302,0.78353,0.792,0.85666,0.68308,0.7652,0.89006,0.75255,0.00459,0,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089,0.0267,0.0089
12,1368.59,0.90903,0.92352,1.00618,0.0033,0.2139,0.80367,0.78071,0.85929,0.699,0.80523,0.78228,0.86018,0.68426,0.75063,0.83055,0.69494,0.00446,0,0.02637,0.00879,0.02637,0.00879,0.02637,0.00879,0.02637,0.00879
13,1475.12,0.90567,0.94926,0.96965,0.00326,0.20975,0.83818,0.75545,0.86406,0.70385,0.8426,0.75889,0.86858,0.68492,0.75115,0.80568,0.68468,0.00466,0,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
