epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.412,0.33446,0.93875,0.21736,0.09918,0.98665,0.06749,0.933,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,1187.73,0.04762,0.86451,0.01747,0.14291,0.98006,0.09025,0.92301,0,0.0199159,0.00663862,0.0199159,0.00663862,0.0199159,0.00663862,0.0199159,0.00663862
3,1768.24,0.05112,0.82529,0.01607,0.11893,0.83689,0.74762,0.87464,0,0.0298169,0.00993898,0.0298169,0.00993898,0.0298169,0.00993898,0.0298169,0.00993898
4,2348.72,0.05975,0.78979,0.01679,0.12221,0.96601,0.13635,0.81399,0,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575,0.0297773,0.00992575
5,2928.81,0.06551,0.70821,0.01635,0.1201,0.94322,0.22267,0.59955,0,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901,0.029703,0.009901
6,3509.67,0.07217,0.6189,0.0158,0.11041,0.97502,0.13817,0.48663,0,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625,0.0296288,0.00987625
7,4090.02,0.07418,0.58109,0.01571,0.11517,0.96383,0.15172,0.48629,0,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515,0.0295545,0.0098515
8,4670.7,0.06918,0.58371,0.01415,0.11211,0.95191,0.18235,0.48502,0,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675,0.0294802,0.00982675
9,5251.22,0.06873,0.57961,0.0142,0.14421,0.98246,0.10409,0.49043,0,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
10,5831.58,0.06816,0.57213,0.01412,0.16487,0.97898,0.11402,0.47813,0,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725,0.0293318,0.00977725
11,6411.87,0.07128,0.56771,0.01495,0.15516,0.9826,0.10993,0.47946,0,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525,0.0292575,0.0097525
12,6992.51,0.06345,0.57021,0.01239,0.15771,0.98214,0.10086,0.47979,0,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775,0.0291833,0.00972775
13,7573.09,0.06494,0.56527,0.0126,0.15551,0.98521,0.09874,0.48037,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
14,8153.53,0.06838,0.56436,0.01339,0.16431,0.98274,0.10311,0.47724,0,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825,0.0290348,0.00967825
15,8734.36,0.06533,0.56374,0.01265,0.16278,0.9843,0.10574,0.47757,0,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535,0.0289605,0.0096535
16,9315.2,0.0611,0.55877,0.01178,0.16086,0.97697,0.11471,0.4782,0,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
17,9895.91,0.06362,0.55935,0.01225,0.14364,0.96834,0.15208,0.47952,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
18,10476.6,0.06429,0.55233,0.01184,0.17453,0.98154,0.10826,0.47373,0,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925,0.0287377,0.00957925
19,11057.4,0.06299,0.55774,0.01209,0.16838,0.97772,0.11398,0.47357,0,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545,0.0286635,0.0095545
20,11638.5,0.06124,0.54653,0.01194,0.18446,0.98233,0.09959,0.47608,0,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975,0.0285893,0.00952975
21,12219.9,0.06253,0.56454,0.01165,0.19015,0.98436,0.09577,0.47256,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
22,12801,0.05935,0.54606,0.01101,0.15958,0.97559,0.12292,0.47406,0,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025,0.0284408,0.00948025
23,13381.8,0.05931,0.55392,0.01104,0.18566,0.98112,0.10445,0.47252,0,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555,0.0283665,0.0094555
24,13962.6,0.06096,0.54063,0.01132,0.17278,0.98048,0.10884,0.47606,0,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075,0.0282922,0.00943075
25,14543.7,0.05974,0.53939,0.01136,0.18142,0.9824,0.10814,0.4719,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
26,15124.9,0.06367,0.54398,0.01193,0.19818,0.98497,0.09856,0.47133,0,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
27,15705.9,0.06422,0.5312,0.0108,0.14775,0.98665,0.1088,0.37647,0,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565,0.0280695,0.0093565
28,16286.9,0.0702,0.51388,0.01191,0.14516,0.98607,0.11094,0.35404,0,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175,0.0279952,0.00933175
29,16868.4,0.07351,0.50866,0.01197,0.16415,0.9841,0.11227,0.33391,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
30,17450.3,0.07384,0.51874,0.01203,0.14897,0.98128,0.12223,0.36787,0,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225,0.0278467,0.00928225
31,18031.8,0.07107,0.50023,0.01144,0.18274,0.9869,0.10167,0.33548,0,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
32,18612.2,0.07313,0.5189,0.01188,0.17213,0.98737,0.10447,0.32836,0,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275,0.0276982,0.00923275
33,19192.6,0.07222,0.51,0.01147,0.14831,0.98641,0.11712,0.34002,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
34,19772.9,0.07386,0.51685,0.01204,0.17283,0.98373,0.10926,0.37762,0,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325,0.0275497,0.00918325
35,20353.7,0.07552,0.49837,0.01208,0.18631,0.9861,0.10233,0.35958,0,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585,0.0274755,0.0091585
36,20934.5,0.07553,0.50674,0.01268,0.15845,0.98371,0.11327,0.33772,0,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
37,21515.2,0.07017,0.49514,0.01149,0.17012,0.98505,0.11166,0.33322,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
38,585.135,0.06804,0.491,0.01127,0.17036,0.98382,0.10902,0.34712,0,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425,0.0272527,0.00908425
39,1166.25,0.06963,0.50068,0.01115,0.1712,0.97999,0.11934,0.35806,0,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595,0.0271785,0.0090595
40,1747.18,0.06895,0.49135,0.01138,0.17723,0.98515,0.10552,0.34824,0,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475,0.0271042,0.00903475
41,2328.16,0.06647,0.48221,0.01086,0.15925,0.98381,0.11303,0.32958,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
42,2909.11,0.06918,0.50772,0.011,0.16918,0.98244,0.11627,0.35138,0,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525,0.0269558,0.00898525
43,3489.99,0.0676,0.4956,0.01102,0.17932,0.98232,0.11139,0.35328,0,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605,0.0268815,0.0089605
44,4070.96,0.06757,0.49551,0.0108,0.18672,0.9869,0.1054,0.33625,0,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575,0.0268072,0.00893575
