epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1191.28,0.61798,0.89636,0.27409,0.15597,0.93869,0.26241,0.92944,0,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754,0.00998261,0.00332754
2,2360.97,0.20563,0.68257,0.08103,0.41562,0.9558,0.15845,0.90192,0,0.0197848,0.00659493,0.0197848,0.00659493,0.0197848,0.00659493,0.0197848,0.00659493
3,3520.94,0.17699,0.57631,0.06348,0.47194,0.96127,0.14783,0.89219,0,0.029389,0.00979632,0.029389,0.00979632,0.029389,0.00979632,0.029389,0.00979632
4,4677.64,0.16808,0.54611,0.059,0.45471,0.95748,0.16609,0.89174,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5834.89,0.15739,0.52049,0.05489,0.60718,0.96651,0.11182,0.88126,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6992.64,0.14627,0.49324,0.05061,0.59905,0.97005,0.10634,0.87936,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,8149.78,0.1387,0.48023,0.04784,0.65303,0.97698,0.08008,0.87754,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,9307.22,0.12951,0.46623,0.04465,0.62451,0.973,0.09301,0.87483,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,10465.7,0.12259,0.44798,0.04189,0.72519,0.98079,0.06106,0.83871,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,11623.9,0.12079,0.43801,0.04132,0.68787,0.97829,0.07455,0.86043,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,12781.2,0.12069,0.42955,0.04117,0.72101,0.98245,0.05905,0.84776,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
