epoch,time,train/ce_loss,train/dice_loss,train/aux_loss,metrics/mIoU,metrics/pixel_acc,val/ce_loss,val/dice_loss,val/aux_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,600.156,0.33446,0.93875,0.21736,0.09918,0.98665,0.06749,0.933,0,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176,0.00996528,0.00332176
2,1188.55,0.04776,0.86552,0.01753,0.15056,0.98139,0.08716,0.92191,0,0.0197676,0.00658921,0.0197676,0.00658921,0.0197676,0.00658921,0.0197676,0.00658921
3,1769.31,0.0497,0.83354,0.01591,0.13473,0.94532,0.19784,0.91873,0,0.029372,0.00979066,0.029372,0.00979066,0.029372,0.00979066,0.029372,0.00979066
4,2350.08,0.10785,0.59374,0.01819,0.07297,0.98708,0.17383,0.2314,0,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2930.9,0.12171,0.5356,0.01778,0.07509,0.98164,0.17394,0.23148,0,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,3512.12,0.11514,0.52055,0.01656,0.08635,0.98547,0.16452,0.22728,0,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,4093.19,0.11584,0.51079,0.01682,0.09497,0.97336,0.19574,0.22818,0,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,4674.04,0.10505,0.52151,0.01544,0.08415,0.98024,0.14908,0.29541,0,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,5255.14,0.09505,0.51689,0.01487,0.11921,0.98192,0.13957,0.27929,0,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,5836.22,0.09555,0.51612,0.01486,0.1092,0.98619,0.14134,0.28866,0,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,6417.13,0.10104,0.50311,0.01579,0.10764,0.9828,0.13574,0.28912,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,6998.37,0.08842,0.50464,0.01344,0.10622,0.98083,0.14523,0.27603,0,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7579.36,0.09006,0.50874,0.01344,0.1197,0.98396,0.13651,0.27031,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,8159.89,0.09466,0.51635,0.01412,0.11329,0.97649,0.14294,0.28512,0,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,8740.88,0.08848,0.50329,0.01333,0.12367,0.97968,0.14167,0.2733,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
